file_path,thumbnail,set_key,langs
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/052.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/052-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/053.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/053-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/054.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/054-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/055.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/055-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/056.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/056-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/057.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/057-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/058.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/058-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/059.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/059-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/060.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/060-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/061.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/061-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
